City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
239,Seddon,AU,-37.81,144.89,46.99,100,40,3.36,scattered clouds,0.0,0.0
240,Abonnema,NG,4.71,6.79,77.0,94,75,3.36,thunderstorm with light rain,0.0,0.0
241,Kasane,BW,-17.82,25.15,53.82,59,0,6.55,clear sky,0.0,0.0
242,Muroto,JP,33.28,134.15,71.08,75,87,8.99,overcast clouds,0.0,0.0
243,Nouakchott,MR,18.09,-15.98,78.8,78,0,10.29,clear sky,0.0,0.0
244,Reinosa,ES,43.0,-4.14,68.0,68,20,3.36,few clouds,0.0,0.0
245,Diego De Almagro,CL,-26.37,-70.05,78.28,16,0,8.25,clear sky,0.0,0.0
246,Altay,CN,47.87,88.12,50.65,71,100,10.36,light rain,0.28,0.28
247,Mount Isa,AU,-20.73,139.5,62.6,39,0,14.99,clear sky,0.0,0.0
248,Kaduqli,SD,11.02,29.72,86.88,38,0,5.3,clear sky,0.0,0.0
249,Longyearbyen,SJ,78.22,15.64,39.2,86,75,17.22,broken clouds,0.0,0.0
250,Bintulu,MY,3.17,113.03,77.0,100,75,3.36,broken clouds,0.0,0.0
251,Wajir,KE,1.75,40.06,79.5,56,51,21.74,broken clouds,0.0,0.0
252,Chuy,UY,-33.7,-53.46,57.97,84,36,8.12,scattered clouds,0.0,0.0
253,Umm Lajj,SA,25.02,37.27,79.95,59,0,7.14,clear sky,0.0,0.0
254,Isangel,VU,-19.55,169.27,71.2,81,89,13.94,overcast clouds,0.0,0.0
255,Krasnoselkup,RU,65.7,82.47,44.76,86,100,13.73,overcast clouds,0.0,0.0
256,Plainview,US,40.78,-73.47,82.99,57,1,14.99,clear sky,0.0,0.0
257,Marivan,IR,35.52,46.18,60.89,34,0,2.44,clear sky,0.0,0.0
258,Cap-Aux-Meules,CA,47.38,-61.86,53.6,81,90,14.99,overcast clouds,0.0,0.0
259,Fare,PF,-16.7,-151.02,80.44,78,46,9.91,scattered clouds,0.0,0.0
260,Slave Lake,CA,55.28,-114.77,73.4,38,1,10.29,haze,0.0,0.0
261,Nador,MA,35.17,-2.93,77.0,53,0,2.62,clear sky,0.0,0.0
262,Cabedelo,BR,-6.98,-34.83,78.8,83,75,12.75,broken clouds,0.0,0.0
263,Aasiaat,GL,68.71,-52.87,38.93,79,22,12.28,few clouds,0.0,0.0
264,Quesnel,CA,53.0,-122.5,69.8,60,75,8.05,broken clouds,0.0,0.0
265,Palu,ID,-0.89,119.87,75.06,82,70,2.84,light rain,0.37,0.37
266,Labuhan,ID,-6.88,112.21,76.66,85,76,6.58,broken clouds,0.0,0.0
267,Nisia Floresta,BR,-6.09,-35.21,82.4,65,75,19.46,broken clouds,0.0,0.0
268,Sibay,RU,52.72,58.67,58.03,70,0,7.18,clear sky,0.0,0.0
269,Knysna,ZA,-34.04,23.05,57.2,93,100,4.7,overcast clouds,0.0,0.0
