City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Starachowice,PL,2020-06-19 01:23:38,51.04,21.07,62.01,93,0,3.2
219,Gamba,GA,2020-06-19 01:23:38,-2.65,10.0,73.54,88,100,1.63
220,Uyemskiy,RU,2020-06-19 01:23:38,64.47,40.85,57.2,82,40,6.71
221,Cervo,ES,2020-06-19 01:23:38,43.67,-7.41,55.99,90,53,1.01
222,Ferrol,ES,2020-06-19 01:23:39,43.48,-8.24,53.6,87,60,5.82
223,Lagoa,PT,2020-06-19 01:23:39,39.05,-27.98,64.0,90,0,11.81
224,Sao Felix Do Xingu,BR,2020-06-19 01:23:39,-6.64,-51.99,71.6,79,30,2.64
225,San Cristobal,VE,2020-06-19 01:23:39,7.77,-72.22,75.2,94,75,13.87
226,Salta,AR,2020-06-19 01:22:44,-24.79,-65.41,51.8,76,88,2.24
227,Puerto Madero,MX,2020-06-19 01:23:40,14.72,-92.42,80.6,100,40,5.26
228,Partizanskoye,RU,2020-06-19 01:23:40,55.5,94.39,61.02,83,54,16.42
229,Xingyi,CN,2020-06-19 01:23:40,24.19,102.82,67.12,91,71,4.32
230,Hasaki,JP,2020-06-19 01:23:40,35.73,140.83,66.2,100,75,12.75
231,Penarroya-Pueblonuevo,ES,2020-06-19 01:23:40,38.3,-5.27,64.4,68,0,4.7
232,Zheleznodorozhnyy,RU,2020-06-19 01:23:41,55.75,38.0,71.01,93,1,6.71
233,Kumluca,TR,2020-06-19 01:23:41,36.37,30.29,73.42,58,0,4.27
234,San Jose,US,2020-06-19 01:22:00,37.34,-121.89,90.0,23,75,19.46
235,Guarapari,BR,2020-06-19 01:23:41,-20.67,-40.5,66.99,93,0,4.9
236,Grindavik,IS,2020-06-19 01:23:41,63.84,-22.43,48.2,93,75,13.87
237,Kindu,CD,2020-06-19 01:23:42,-2.95,25.95,70.48,63,75,0.2
238,Alindao,CF,2020-06-19 01:23:42,5.03,21.21,70.66,91,98,1.54
239,Luba,GQ,2020-06-19 01:23:43,3.46,8.55,78.28,83,100,8.59
240,Staicele,LV,2020-06-19 01:23:43,57.84,24.75,66.0,86,0,3.78
241,Awbari,LY,2020-06-19 01:23:43,26.59,12.78,78.06,17,0,7.4
242,Riyadh,SA,2020-06-19 01:19:25,24.69,46.72,82.4,15,0,8.05
243,Chuy,UY,2020-06-19 01:23:43,-33.7,-53.46,55.63,87,60,7.72
244,Sol-Iletsk,RU,2020-06-19 01:23:44,51.16,54.99,54.16,81,0,10.6
245,Helong,CN,2020-06-19 01:23:44,42.54,129.0,63.57,70,95,2.33
246,Faya,SA,2020-06-19 01:23:44,18.39,42.45,69.8,56,57,2.51
247,Bengkulu,ID,2020-06-19 01:23:45,-3.8,102.27,76.91,86,100,3.38
248,Qaqortoq,GL,2020-06-19 01:20:50,60.72,-46.03,41.0,83,97,6.93
249,Morro Bay,US,2020-06-19 01:21:26,35.37,-120.85,73.99,50,9,4.0
250,Mayo,US,2020-06-19 01:22:24,38.89,-76.51,73.99,73,40,5.82
251,Oranjemund,NA,2020-06-19 01:23:46,-28.55,16.43,69.46,29,0,13.71
252,Voh,NC,2020-06-19 01:23:46,-20.97,164.7,78.31,58,61,6.26
253,Saint George,US,2020-06-19 01:23:46,37.1,-113.58,91.0,9,1,11.41
254,Concordia,AR,2020-06-19 01:23:46,-31.39,-58.02,54.0,94,98,1.99
255,Havelock,US,2020-06-19 01:23:46,34.88,-76.9,75.99,64,75,6.17
256,Tucuma,BR,2020-06-19 01:23:47,-0.18,-50.05,76.1,90,91,5.86
257,Santa Cruz De Tenerife,ES,2020-06-19 01:23:47,28.47,-16.25,68.0,93,75,4.7
258,Erdenet,MN,2020-06-19 01:23:47,49.03,104.08,63.68,72,98,2.84
259,Kununurra,AU,2020-06-19 01:23:47,-15.77,128.73,82.4,34,0,9.17
260,Bonfim,BR,2020-06-19 01:23:47,3.08,-59.95,76.42,89,98,3.15
261,Kahului,US,2020-06-19 01:23:48,20.89,-156.47,87.8,52,20,21.92
262,Nizhniy Odes,RU,2020-06-19 01:23:48,63.64,54.86,45.36,58,30,6.6
263,Armidale,AU,2020-06-19 01:23:48,-30.52,151.65,48.99,69,15,5.01
264,Hanna,CA,2020-06-19 01:23:49,51.63,-111.9,57.99,55,100,3.0
265,Clyde River,CA,2020-06-19 01:23:49,70.47,-68.59,32.0,90,90,9.17
266,Bairiki,KI,2020-06-19 01:23:49,1.33,172.98,86.0,66,75,4.7
267,Bathsheba,BB,2020-06-19 01:23:49,13.22,-59.52,82.4,78,20,19.46
268,Kouango,CF,2020-06-19 01:23:49,4.99,19.96,72.59,78,100,1.14
269,Dunedin,NZ,2020-06-19 01:23:50,-45.87,170.5,46.99,73,0,30.0
270,Launceston,AU,2020-06-19 01:23:50,-41.45,147.17,52.0,87,100,3.36
271,Sabha,LY,2020-06-19 01:22:26,27.04,14.43,79.02,17,0,10.78
272,Mecca,SA,2020-06-19 01:21:35,21.43,39.83,86.29,24,97,5.55
273,Gombong,ID,2020-06-19 01:23:51,-7.61,109.51,63.0,65,92,7.74
274,Stawell,AU,2020-06-19 01:23:51,-37.05,142.77,55.36,73,0,20.24
275,Malabo,GQ,2020-06-19 01:23:51,3.75,8.78,77.92,83,100,9.95
276,Baiyin,CN,2020-06-19 01:23:51,36.56,104.21,71.6,37,89,4.47
277,Zemio,CF,2020-06-19 01:23:52,5.03,25.14,66.47,98,100,3.69
278,Vysokogornyy,RU,2020-06-19 01:23:52,50.12,139.15,47.01,92,100,3.33
279,Bud,US,2020-06-19 01:23:52,39.45,-86.18,78.8,50,1,1.45
280,Iskateley,RU,2020-06-19 01:23:52,67.68,53.15,46.71,80,100,9.78
281,Husavik,IS,2020-06-19 01:23:53,66.04,-17.34,46.4,81,0,16.11
282,Tigil,RU,2020-06-19 01:23:53,57.8,158.67,58.6,73,73,4.92
283,Aktas,KZ,2020-06-19 01:23:53,49.78,72.96,50.0,93,75,6.71
284,Port Moresby,PG,2020-06-19 01:23:53,-9.44,147.18,84.2,74,40,17.22
285,Paris,FR,2020-06-19 01:22:09,48.85,2.35,59.0,93,98,5.82
286,Srandakan,ID,2020-06-19 01:23:54,-7.94,110.25,80.67,79,11,14.54
287,Talnakh,RU,2020-06-19 01:23:54,69.49,88.4,46.4,65,100,15.66
288,Vestmannaeyjar,IS,2020-06-19 01:23:54,63.44,-20.27,48.63,78,67,16.33
289,Yerbogachen,RU,2020-06-19 01:23:54,61.28,108.01,68.79,45,31,1.97
290,Dayong,CN,2020-06-19 01:23:55,25.02,118.29,89.6,62,100,8.95
291,Lyubim,RU,2020-06-19 01:23:55,58.36,40.68,54.37,91,7,5.28
292,Metro,ID,2020-06-19 01:23:55,-5.11,105.31,78.53,84,100,2.95
293,Abu Dhabi,AE,2020-06-19 01:23:55,24.47,54.37,87.01,74,0,4.7
294,Adrar,MR,2020-06-19 01:23:55,20.5,-10.07,94.59,19,0,15.43
295,Leningradskiy,RU,2020-06-19 01:23:56,69.38,178.42,45.99,59,0,8.93
296,Belyy Yar,RU,2020-06-19 01:23:56,53.6,91.39,62.6,72,40,11.18
297,Kaberamaido,UG,2020-06-19 01:23:56,1.74,33.16,64.18,89,21,1.14
298,Maroua,CM,2020-06-19 01:23:56,10.59,14.32,81.45,62,91,2.95
299,Toccoa,US,2020-06-19 01:23:56,34.58,-83.33,72.0,78,90,2.55
300,Shebalino,RU,2020-06-19 01:23:57,51.29,85.68,58.23,54,93,8.43
301,Guntakal,IN,2020-06-19 01:23:57,15.17,77.38,78.39,71,100,10.94
302,Carnarvon,AU,2020-06-19 01:23:57,-24.87,113.63,62.6,67,0,11.41
303,Khorinsk,RU,2020-06-19 01:23:57,52.17,109.77,67.93,30,0,3.53
304,Pella,RU,2020-06-19 01:23:57,59.78,30.82,62.6,82,0,2.24
